ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,Mme LABROQUERE Claudine    ,Mme MEDDAH Assia    ,Mme DEPRAZ Natalie,Mme BUZYN Agnès,M. BOULARD Geoffroy    ,M. CHRISTOPH Frédéric    ,Mme PEREZ Karina,M. BRITEL Karim    ,Mme TAÏEB Karen    ,Mme SÉNÉCHAL Laurence,Mme RÉMY-LELEU Raphaëlle,M. RUPIN Pacôme    ,Mme POL Patricia    ,M. VÉRON Aurélien    ,Mme CHAVANE Christiane    ,Mme LEWI Olivia    ,M. BERKANI Christophe    ,M. WEIL Ariel,Mme LEBRETON Anne    ,M. BULLARA Michaël    ,Mme CAMPION Singrid    ,M. SZPINER Francis,Mme SEBBAH Hanna,Mme FUSI Muriel    ,Mme MARRE Béatrice    ,Mme COPPIN Anne-Sophie,Mme NOVELLI Annie,M. DE BOUCAUD Philippe   ,Mme MAKBOUL Ourida    ,Mme BOULAY-ESPÉRONNIER Céline,Mme GIAZZI Danièle,M. ATLAN Bernard,M. VINCIGUERRA Laurent    ,M. VILLANI Cédric    ,M. GRUNENWALD Cédric,M. LETISSIER Florentin    ,Mme CARRERE-GEE Marie-Claire,M. AZIERE Éric    ,Mme ESSEMLALI Lamya    ,Mme PETIT Carine,M. LAYRÉ-CASSOU Franck    ,M. MIGUET Nicolas,M. VAUTIER Vincent,M. GOUJON Philippe    ,Mme IBLED Catherine    ,Mme ROETHLISBERGER Corinne    ,Mme NIAKATÉ Aminata    ,M. VIALE Frédéric    ,M. GUIBERT Géraud,Mme EVREN Agnès,M. DE SAINT JUST Wallerand,Mme TORANIAN Anouch,Mme DIETHELM Victoire    ,M. PRÉAU Jean    ,M. ARNOULD Alexandre    ,Mme PIAZZINI Natasha    ,M. PENINOU Mao    ,M. TIBERI Dominique    ,M. GHOSN Georges    ,M. LE GAL Eric   ,Mme LEMARDELEY Marie-Christine    ,Mme PESKINE Hélène    ,Mme BIRABEN Anne    ,M. AUDOUIN Laurent    ,Mme BERTHOUT Florence    ,Mme NAZZAL Bouchra,Mme DUCAMP Anne    ,M. BELLIARD David    ,Mme CAR Pépita,Mme RANNER-LUXIN Lise-Marie    ,Mme GARNIER Nelly    ,M. D'ETIGNY François,M. LEFORT Jacques    ,M. VAUGLIN François    ,M. ALLMANG Cédrick,M. POITOUX Guillaume    ,M. DEGBEGNI Christian    ,M. HENRY Pierre    ,M. ROËLS Hugo    ,M. RAIFAUD Sylvain    ,M. TANGUY Didier    ,Mme ZLOTNIK Atika    ,M. ZENTAR Pierre-Yves    ,M. FORT Bertil    ,Mme CORDEBARD Alexandra    ,M. AMELLAL Karim    ,M. BONY Clément    ,M. MILLOT Georges,M. GRÉGOIRE Emmanuel    ,Mme MAGNAN Annick    ,Mme MAZETIER Sandrine,Mme MONTANDON Valérie    ,M. REBOURG Patrick,Mme ELBAZ Caroline    ,Mme PIERRE-MARIE Emmanuelle    ,M. PESCHANSKI Marc    ,Mme KIS Antoinette    ,Mme ANDREZ Olivia    ,M. PATOU Fabien    ,Mme HERVIEU Céline    ,M. GANTZER Gaspard    ,M. LECOQ Jean-Pierre    ,Mme HOURTOULLE-ROLLET Frédérique    ,M. SENS Romain    ,Mme MANCUSI Rossella Letizia   ,Mme DATI Rachida    ,M. BASCHET Jean-Sébastien    ,Mme BOUILLIEZ Virginie    ,M. MISSOFFE Alexandre    ,Mme FILIPPOVA Diana    ,Mme HASNAOUI Samia    ,M. GOUZERH Denis    ,M. LOUVRADOUX Frédéric    ,Mme LECASBLE Valérie    ,Mme LAPORTE Manon    ,M. PENG Chang Hua,M. AOUDIA Sofiane,Mme ZENTAR Marie-Sophie    ,M. BEN MERZOUG Amir   ,M. QNOUCH Raphaël,M. COUMET Jérôme,Mme SOUYRIS Anne    ,Mme SAULNIER Marielle    ,M. OLIVIER Jean-Baptiste    ,M. DUBOIS Jean-Michel,M. POMMEAU Michel,M. COT Guillaume    ,M. KELLER Thierry    ,M. MAURIN Pierre    ,Mme BÜRKLI Delphine    ,M. PONELLE Marc-Antoine    ,Mme CONTI Fabiola    ,M. DELANERY Côme    ,M. NGATCHA Arnaud    ,Mme BIRON Marie-Claude    ,Mme ROBIN Sophie    ,Mme BABU Hélène    ,M. GODICHEAU Pierre    ,Mme D'HAUTESERRE Jeanne    ,Mme LÉCUYER Catherine    ,Mme MICHEL Athénaïs    ,Mme CRAMBES-RICHAUD Amandine    ,Mme SEGOND Sophie    ,Mme DE HEAULME Alix   ,M. JOSSIER Benoit    ,M. COGAN Guillaume    ,Mme BORDRY Isabelle    ,M. DESPLANTES Florien,M. CHARVILLAT Arnaud,M. PLIEZ Eric,M. LEGRAND Aurélien    ,M. ZRIHEN Ariel    ,M. DIDIER François-Marie    ,M. VUONG Valéry,M. NEZZAR Rayan,Mme SIMONNET Danielle,Mme CALANDRA Frédérique    ,Mme GUHL Antoinette    ,M. DHORASOO Vikash,M. LEJOINDRE Eric,M. BOURNAZEL Pierre-Yves,M. DE GERMAIN Jérôme   ,Mme BOUX Anne-Claire    ,M. ELALOUF Lucas    ,M. GIBERT Florian    ,M. AKSAS Abdellah,M. GRANIER Rudolph,M. MAZUR Jean-Jacques,M. LISCIA Pierre,M. CAMPION Marcel,Mme DABOUSSI Hela,M. GARNIER Patrick,M. ROUXEL Olivier    ,Mme BENISTI Régina    ,M. DAGNAUD François    ,M. LERT Dan,Mme FORTEZA Paula,M. FEDERBUSCH Serge,Mme TOUBIANA Marie    ,M. EL-MARBATI Nordine    ,Mme LEGRAIN Sarah    ,M. PASQUIOU Paul    
17-12,Municipales,2020,1,2020-03-15,3,67,17,12,25,1508,700,700,4,9,687,10.0,45.0,14.0,189.0,234.0,0.0,79.0,1.0,112.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-13,Municipales,2020,1,2020-03-15,3,67,17,13,27,1605,714,714,2,8,704,15.0,48.0,21.0,176.0,216.0,5.0,83.0,3.0,131.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-14,Municipales,2020,1,2020-03-15,3,67,17,14,19,1596,710,710,3,5,702,11.0,36.0,8.0,175.0,310.0,0.0,68.0,6.0,82.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-15,Municipales,2020,1,2020-03-15,3,67,17,15,20,1466,640,640,4,8,628,12.0,29.0,10.0,160.0,299.0,1.0,46.0,4.0,62.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-16,Municipales,2020,1,2020-03-15,3,67,17,16,25,2214,969,971,6,27,938,13.0,43.0,34.0,138.0,399.0,9.0,83.0,7.0,206.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-17,Municipales,2020,1,2020-03-15,3,67,17,17,13,1561,595,597,5,16,576,11.0,31.0,23.0,90.0,252.0,7.0,39.0,8.0,111.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-18,Municipales,2020,1,2020-03-15,3,68,17,18,11,1459,543,543,6,16,521,9.0,42.0,26.0,78.0,172.0,6.0,47.0,6.0,134.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-19,Municipales,2020,1,2020-03-15,3,68,17,19,7,1250,378,378,5,7,366,8.0,20.0,20.0,39.0,127.0,6.0,29.0,4.0,109.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-20,Municipales,2020,1,2020-03-15,3,68,17,20,5,1335,419,419,4,9,406,12.0,26.0,23.0,44.0,160.0,9.0,31.0,1.0,92.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-21,Municipales,2020,1,2020-03-15,3,68,17,21,28,1417,570,570,5,3,562,6.0,35.0,21.0,97.0,150.0,4.0,80.0,3.0,161.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-22,Municipales,2020,1,2020-03-15,3,68,17,22,16,1214,504,506,4,3,499,13.0,31.0,27.0,83.0,126.0,4.0,63.0,3.0,146.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-23,Municipales,2020,1,2020-03-15,3,68,17,23,3,1413,390,390,7,14,369,13.0,19.0,21.0,51.0,133.0,8.0,34.0,4.0,84.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-24,Municipales,2020,1,2020-03-15,3,68,17,24,13,1178,530,528,2,9,517,14.0,39.0,25.0,90.0,120.0,7.0,77.0,2.0,141.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-25,Municipales,2020,1,2020-03-15,3,68,17,25,19,1830,738,738,9,17,712,13.0,60.0,29.0,111.0,198.0,6.0,54.0,4.0,233.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-26,Municipales,2020,1,2020-03-15,3,68,17,26,21,1422,564,562,6,9,547,12.0,48.0,15.0,110.0,119.0,5.0,78.0,4.0,147.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-27,Municipales,2020,1,2020-03-15,3,68,17,27,19,1618,596,596,3,8,585,14.0,41.0,26.0,85.0,173.0,9.0,81.0,5.0,143.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-28,Municipales,2020,1,2020-03-15,3,68,17,28,17,1633,716,716,3,8,705,9.0,44.0,24.0,152.0,220.0,2.0,90.0,5.0,155.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-29,Municipales,2020,1,2020-03-15,3,68,17,29,28,1768,751,751,2,18,731,10.0,49.0,25.0,131.0,172.0,7.0,106.0,2.0,225.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-30,Municipales,2020,1,2020-03-15,3,68,17,30,26,1326,634,629,3,5,621,8.0,33.0,25.0,93.0,172.0,1.0,94.0,2.0,191.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-31,Municipales,2020,1,2020-03-15,3,68,17,31,17,1417,613,613,1,5,607,5.0,40.0,21.0,120.0,156.0,5.0,95.0,3.0,160.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-32,Municipales,2020,1,2020-03-15,3,68,17,32,14,1475,639,639,1,6,632,14.0,58.0,25.0,136.0,171.0,4.0,84.0,4.0,133.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
