ID_BVOTE,NUM_ARROND,TOUR,CANDIDAT,NB_VOTE
17-1,17,1,Mme MEDDAH Assia    ,47.0
17-2,17,1,Mme MEDDAH Assia    ,45.0
17-3,17,1,Mme MEDDAH Assia    ,36.0
17-4,17,1,Mme MEDDAH Assia    ,36.0
17-5,17,1,Mme MEDDAH Assia    ,48.0
17-6,17,1,Mme MEDDAH Assia    ,48.0
17-7,17,1,Mme MEDDAH Assia    ,41.0
17-8,17,1,Mme MEDDAH Assia    ,47.0
17-9,17,1,Mme MEDDAH Assia    ,56.0
17-10,17,1,Mme MEDDAH Assia    ,34.0
17-11,17,1,Mme MEDDAH Assia    ,52.0
17-12,17,1,Mme MEDDAH Assia    ,45.0
17-13,17,1,Mme MEDDAH Assia    ,48.0
17-14,17,1,Mme MEDDAH Assia    ,36.0
17-15,17,1,Mme MEDDAH Assia    ,29.0
17-16,17,1,Mme MEDDAH Assia    ,43.0
17-17,17,1,Mme MEDDAH Assia    ,31.0
17-18,17,1,Mme MEDDAH Assia    ,42.0
17-19,17,1,Mme MEDDAH Assia    ,20.0
17-20,17,1,Mme MEDDAH Assia    ,26.0
17-21,17,1,Mme MEDDAH Assia    ,35.0
17-22,17,1,Mme MEDDAH Assia    ,31.0
17-23,17,1,Mme MEDDAH Assia    ,19.0
17-24,17,1,Mme MEDDAH Assia    ,39.0
17-25,17,1,Mme MEDDAH Assia    ,60.0
17-26,17,1,Mme MEDDAH Assia    ,48.0
17-27,17,1,Mme MEDDAH Assia    ,41.0
17-28,17,1,Mme MEDDAH Assia    ,44.0
17-29,17,1,Mme MEDDAH Assia    ,49.0
17-30,17,1,Mme MEDDAH Assia    ,33.0
17-31,17,1,Mme MEDDAH Assia    ,40.0
17-32,17,1,Mme MEDDAH Assia    ,58.0
17-33,17,1,Mme MEDDAH Assia    ,49.0
17-34,17,1,Mme MEDDAH Assia    ,55.0
17-35,17,1,Mme MEDDAH Assia    ,37.0
17-36,17,1,Mme MEDDAH Assia    ,24.0
17-37,17,1,Mme MEDDAH Assia    ,29.0
17-38,17,1,Mme MEDDAH Assia    ,27.0
17-39,17,1,Mme MEDDAH Assia    ,25.0
17-40,17,1,Mme MEDDAH Assia    ,26.0
17-41,17,1,Mme MEDDAH Assia    ,35.0
17-42,17,1,Mme MEDDAH Assia    ,36.0
17-43,17,1,Mme MEDDAH Assia    ,33.0
17-44,17,1,Mme MEDDAH Assia    ,37.0
17-45,17,1,Mme MEDDAH Assia    ,41.0
17-46,17,1,Mme MEDDAH Assia    ,36.0
17-47,17,1,Mme MEDDAH Assia    ,21.0
17-48,17,1,Mme MEDDAH Assia    ,45.0
17-49,17,1,Mme MEDDAH Assia    ,35.0
17-50,17,1,Mme MEDDAH Assia    ,29.0
17-51,17,1,Mme MEDDAH Assia    ,30.0
17-52,17,1,Mme MEDDAH Assia    ,29.0
17-53,17,1,Mme MEDDAH Assia    ,35.0
17-54,17,1,Mme MEDDAH Assia    ,35.0
17-55,17,1,Mme MEDDAH Assia    ,36.0
17-56,17,1,Mme MEDDAH Assia    ,32.0
17-57,17,1,Mme MEDDAH Assia    ,25.0
17-58,17,1,Mme MEDDAH Assia    ,28.0
17-59,17,1,Mme MEDDAH Assia    ,33.0
17-60,17,1,Mme MEDDAH Assia    ,36.0
17-61,17,1,Mme MEDDAH Assia    ,33.0
17-62,17,1,Mme MEDDAH Assia    ,36.0
17-63,17,1,Mme MEDDAH Assia    ,42.0
17-64,17,1,Mme MEDDAH Assia    ,37.0
17-65,17,1,Mme MEDDAH Assia    ,28.0
17-66,17,1,Mme MEDDAH Assia    ,54.0
17-67,17,1,Mme MEDDAH Assia    ,30.0
17-1,17,1,Mme DEPRAZ Natalie,13.0
17-2,17,1,Mme DEPRAZ Natalie,10.0
17-3,17,1,Mme DEPRAZ Natalie,13.0
17-4,17,1,Mme DEPRAZ Natalie,19.0
17-5,17,1,Mme DEPRAZ Natalie,12.0
17-6,17,1,Mme DEPRAZ Natalie,13.0
17-7,17,1,Mme DEPRAZ Natalie,18.0
17-8,17,1,Mme DEPRAZ Natalie,10.0
17-9,17,1,Mme DEPRAZ Natalie,22.0
17-10,17,1,Mme DEPRAZ Natalie,11.0
17-11,17,1,Mme DEPRAZ Natalie,14.0
17-12,17,1,Mme DEPRAZ Natalie,14.0
17-13,17,1,Mme DEPRAZ Natalie,21.0
17-14,17,1,Mme DEPRAZ Natalie,8.0
17-15,17,1,Mme DEPRAZ Natalie,10.0
17-16,17,1,Mme DEPRAZ Natalie,34.0
17-17,17,1,Mme DEPRAZ Natalie,23.0
17-18,17,1,Mme DEPRAZ Natalie,26.0
17-19,17,1,Mme DEPRAZ Natalie,20.0
17-20,17,1,Mme DEPRAZ Natalie,23.0
17-21,17,1,Mme DEPRAZ Natalie,21.0
17-22,17,1,Mme DEPRAZ Natalie,27.0
17-23,17,1,Mme DEPRAZ Natalie,21.0
17-24,17,1,Mme DEPRAZ Natalie,25.0
17-25,17,1,Mme DEPRAZ Natalie,29.0
17-26,17,1,Mme DEPRAZ Natalie,15.0
17-27,17,1,Mme DEPRAZ Natalie,26.0
17-28,17,1,Mme DEPRAZ Natalie,24.0
17-29,17,1,Mme DEPRAZ Natalie,25.0
17-30,17,1,Mme DEPRAZ Natalie,25.0
17-31,17,1,Mme DEPRAZ Natalie,21.0
17-32,17,1,Mme DEPRAZ Natalie,25.0
17-33,17,1,Mme DEPRAZ Natalie,27.0
17-34,17,1,Mme DEPRAZ Natalie,18.0
17-35,17,1,Mme DEPRAZ Natalie,18.0
17-36,17,1,Mme DEPRAZ Natalie,17.0
17-37,17,1,Mme DEPRAZ Natalie,7.0
17-38,17,1,Mme DEPRAZ Natalie,19.0
17-39,17,1,Mme DEPRAZ Natalie,22.0
17-40,17,1,Mme DEPRAZ Natalie,14.0
17-41,17,1,Mme DEPRAZ Natalie,4.0
17-42,17,1,Mme DEPRAZ Natalie,2.0
17-43,17,1,Mme DEPRAZ Natalie,3.0
17-44,17,1,Mme DEPRAZ Natalie,4.0
17-45,17,1,Mme DEPRAZ Natalie,2.0
17-46,17,1,Mme DEPRAZ Natalie,8.0
17-47,17,1,Mme DEPRAZ Natalie,3.0
17-48,17,1,Mme DEPRAZ Natalie,7.0
17-49,17,1,Mme DEPRAZ Natalie,3.0
17-50,17,1,Mme DEPRAZ Natalie,2.0
17-51,17,1,Mme DEPRAZ Natalie,3.0
17-52,17,1,Mme DEPRAZ Natalie,7.0
17-53,17,1,Mme DEPRAZ Natalie,4.0
17-54,17,1,Mme DEPRAZ Natalie,7.0
17-55,17,1,Mme DEPRAZ Natalie,6.0
17-56,17,1,Mme DEPRAZ Natalie,3.0
17-57,17,1,Mme DEPRAZ Natalie,15.0
17-58,17,1,Mme DEPRAZ Natalie,9.0
17-59,17,1,Mme DEPRAZ Natalie,1.0
17-60,17,1,Mme DEPRAZ Natalie,5.0
17-61,17,1,Mme DEPRAZ Natalie,2.0
17-62,17,1,Mme DEPRAZ Natalie,8.0
17-63,17,1,Mme DEPRAZ Natalie,5.0
17-64,17,1,Mme DEPRAZ Natalie,5.0
17-65,17,1,Mme DEPRAZ Natalie,1.0
17-66,17,1,Mme DEPRAZ Natalie,4.0
17-67,17,1,Mme DEPRAZ Natalie,8.0
17-1,17,1,Mme BUZYN Agnès,134.0
17-2,17,1,Mme BUZYN Agnès,154.0
17-3,17,1,Mme BUZYN Agnès,155.0
17-4,17,1,Mme BUZYN Agnès,149.0
17-5,17,1,Mme BUZYN Agnès,144.0
17-6,17,1,Mme BUZYN Agnès,178.0
17-7,17,1,Mme BUZYN Agnès,181.0
17-8,17,1,Mme BUZYN Agnès,196.0
17-9,17,1,Mme BUZYN Agnès,181.0
17-10,17,1,Mme BUZYN Agnès,156.0
17-11,17,1,Mme BUZYN Agnès,146.0
17-12,17,1,Mme BUZYN Agnès,189.0
17-13,17,1,Mme BUZYN Agnès,176.0
17-14,17,1,Mme BUZYN Agnès,175.0
17-15,17,1,Mme BUZYN Agnès,160.0
17-16,17,1,Mme BUZYN Agnès,138.0
17-17,17,1,Mme BUZYN Agnès,90.0
17-18,17,1,Mme BUZYN Agnès,78.0
17-19,17,1,Mme BUZYN Agnès,39.0
17-20,17,1,Mme BUZYN Agnès,44.0
17-21,17,1,Mme BUZYN Agnès,97.0
17-22,17,1,Mme BUZYN Agnès,83.0
17-23,17,1,Mme BUZYN Agnès,51.0
17-24,17,1,Mme BUZYN Agnès,90.0
17-25,17,1,Mme BUZYN Agnès,111.0
17-26,17,1,Mme BUZYN Agnès,110.0
17-27,17,1,Mme BUZYN Agnès,85.0
17-28,17,1,Mme BUZYN Agnès,152.0
17-29,17,1,Mme BUZYN Agnès,131.0
17-30,17,1,Mme BUZYN Agnès,93.0
17-31,17,1,Mme BUZYN Agnès,120.0
17-32,17,1,Mme BUZYN Agnès,136.0
17-33,17,1,Mme BUZYN Agnès,101.0
17-34,17,1,Mme BUZYN Agnès,115.0
17-35,17,1,Mme BUZYN Agnès,117.0
17-36,17,1,Mme BUZYN Agnès,91.0
17-37,17,1,Mme BUZYN Agnès,132.0
17-38,17,1,Mme BUZYN Agnès,100.0
17-39,17,1,Mme BUZYN Agnès,56.0
17-40,17,1,Mme BUZYN Agnès,167.0
17-41,17,1,Mme BUZYN Agnès,170.0
17-42,17,1,Mme BUZYN Agnès,205.0
17-43,17,1,Mme BUZYN Agnès,199.0
17-44,17,1,Mme BUZYN Agnès,166.0
17-45,17,1,Mme BUZYN Agnès,171.0
17-46,17,1,Mme BUZYN Agnès,186.0
17-47,17,1,Mme BUZYN Agnès,192.0
17-48,17,1,Mme BUZYN Agnès,203.0
17-49,17,1,Mme BUZYN Agnès,162.0
17-50,17,1,Mme BUZYN Agnès,191.0
17-51,17,1,Mme BUZYN Agnès,168.0
17-52,17,1,Mme BUZYN Agnès,173.0
17-53,17,1,Mme BUZYN Agnès,153.0
17-54,17,1,Mme BUZYN Agnès,175.0
17-55,17,1,Mme BUZYN Agnès,198.0
17-56,17,1,Mme BUZYN Agnès,169.0
17-57,17,1,Mme BUZYN Agnès,92.0
17-58,17,1,Mme BUZYN Agnès,98.0
17-59,17,1,Mme BUZYN Agnès,137.0
17-60,17,1,Mme BUZYN Agnès,159.0
17-61,17,1,Mme BUZYN Agnès,166.0
17-62,17,1,Mme BUZYN Agnès,193.0
17-63,17,1,Mme BUZYN Agnès,137.0
17-64,17,1,Mme BUZYN Agnès,186.0
17-65,17,1,Mme BUZYN Agnès,182.0
17-66,17,1,Mme BUZYN Agnès,172.0
17-67,17,1,Mme BUZYN Agnès,178.0
17-1,17,1,M. BOULARD Geoffroy    ,172.0
17-2,17,1,M. BOULARD Geoffroy    ,182.0
17-3,17,1,M. BOULARD Geoffroy    ,179.0
17-4,17,1,M. BOULARD Geoffroy    ,162.0
17-5,17,1,M. BOULARD Geoffroy    ,249.0
17-6,17,1,M. BOULARD Geoffroy    ,192.0
17-7,17,1,M. BOULARD Geoffroy    ,193.0
17-8,17,1,M. BOULARD Geoffroy    ,240.0
17-9,17,1,M. BOULARD Geoffroy    ,245.0
17-10,17,1,M. BOULARD Geoffroy    ,227.0
17-11,17,1,M. BOULARD Geoffroy    ,271.0
17-12,17,1,M. BOULARD Geoffroy    ,234.0
17-13,17,1,M. BOULARD Geoffroy    ,216.0
17-14,17,1,M. BOULARD Geoffroy    ,310.0
17-15,17,1,M. BOULARD Geoffroy    ,299.0
17-16,17,1,M. BOULARD Geoffroy    ,399.0
17-17,17,1,M. BOULARD Geoffroy    ,252.0
17-18,17,1,M. BOULARD Geoffroy    ,172.0
17-19,17,1,M. BOULARD Geoffroy    ,127.0
17-20,17,1,M. BOULARD Geoffroy    ,160.0
17-21,17,1,M. BOULARD Geoffroy    ,150.0
17-22,17,1,M. BOULARD Geoffroy    ,126.0
17-23,17,1,M. BOULARD Geoffroy    ,133.0
17-24,17,1,M. BOULARD Geoffroy    ,120.0
17-25,17,1,M. BOULARD Geoffroy    ,198.0
17-26,17,1,M. BOULARD Geoffroy    ,119.0
17-27,17,1,M. BOULARD Geoffroy    ,173.0
17-28,17,1,M. BOULARD Geoffroy    ,220.0
17-29,17,1,M. BOULARD Geoffroy    ,172.0
17-30,17,1,M. BOULARD Geoffroy    ,172.0
17-31,17,1,M. BOULARD Geoffroy    ,156.0
17-32,17,1,M. BOULARD Geoffroy    ,171.0
17-33,17,1,M. BOULARD Geoffroy    ,153.0
17-34,17,1,M. BOULARD Geoffroy    ,149.0
17-35,17,1,M. BOULARD Geoffroy    ,155.0
17-36,17,1,M. BOULARD Geoffroy    ,233.0
17-37,17,1,M. BOULARD Geoffroy    ,379.0
17-38,17,1,M. BOULARD Geoffroy    ,325.0
17-39,17,1,M. BOULARD Geoffroy    ,228.0
17-40,17,1,M. BOULARD Geoffroy    ,347.0
17-41,17,1,M. BOULARD Geoffroy    ,331.0
17-42,17,1,M. BOULARD Geoffroy    ,345.0
17-43,17,1,M. BOULARD Geoffroy    ,302.0
17-44,17,1,M. BOULARD Geoffroy    ,313.0
17-45,17,1,M. BOULARD Geoffroy    ,312.0
17-46,17,1,M. BOULARD Geoffroy    ,262.0
17-47,17,1,M. BOULARD Geoffroy    ,359.0
17-48,17,1,M. BOULARD Geoffroy    ,254.0
17-49,17,1,M. BOULARD Geoffroy    ,348.0
17-50,17,1,M. BOULARD Geoffroy    ,337.0
17-51,17,1,M. BOULARD Geoffroy    ,328.0
17-52,17,1,M. BOULARD Geoffroy    ,338.0
17-53,17,1,M. BOULARD Geoffroy    ,333.0
17-54,17,1,M. BOULARD Geoffroy    ,347.0
17-55,17,1,M. BOULARD Geoffroy    ,346.0
17-56,17,1,M. BOULARD Geoffroy    ,338.0
17-57,17,1,M. BOULARD Geoffroy    ,262.0
17-58,17,1,M. BOULARD Geoffroy    ,299.0
17-59,17,1,M. BOULARD Geoffroy    ,283.0
17-60,17,1,M. BOULARD Geoffroy    ,325.0
17-61,17,1,M. BOULARD Geoffroy    ,376.0
17-62,17,1,M. BOULARD Geoffroy    ,328.0
17-63,17,1,M. BOULARD Geoffroy    ,276.0
17-64,17,1,M. BOULARD Geoffroy    ,325.0
17-65,17,1,M. BOULARD Geoffroy    ,308.0
17-66,17,1,M. BOULARD Geoffroy    ,278.0
17-67,17,1,M. BOULARD Geoffroy    ,318.0
17-1,17,1,M. CHRISTOPH Frédéric    ,4.0
17-2,17,1,M. CHRISTOPH Frédéric    ,4.0
17-3,17,1,M. CHRISTOPH Frédéric    ,4.0
17-4,17,1,M. CHRISTOPH Frédéric    ,7.0
17-5,17,1,M. CHRISTOPH Frédéric    ,0.0
17-6,17,1,M. CHRISTOPH Frédéric    ,3.0
17-7,17,1,M. CHRISTOPH Frédéric    ,4.0
17-8,17,1,M. CHRISTOPH Frédéric    ,0.0
17-9,17,1,M. CHRISTOPH Frédéric    ,3.0
17-10,17,1,M. CHRISTOPH Frédéric    ,2.0
17-11,17,1,M. CHRISTOPH Frédéric    ,4.0
17-12,17,1,M. CHRISTOPH Frédéric    ,0.0
17-13,17,1,M. CHRISTOPH Frédéric    ,5.0
17-14,17,1,M. CHRISTOPH Frédéric    ,0.0
17-15,17,1,M. CHRISTOPH Frédéric    ,1.0
17-16,17,1,M. CHRISTOPH Frédéric    ,9.0
17-17,17,1,M. CHRISTOPH Frédéric    ,7.0
17-18,17,1,M. CHRISTOPH Frédéric    ,6.0
17-19,17,1,M. CHRISTOPH Frédéric    ,6.0
17-20,17,1,M. CHRISTOPH Frédéric    ,9.0
17-21,17,1,M. CHRISTOPH Frédéric    ,4.0
17-22,17,1,M. CHRISTOPH Frédéric    ,4.0
17-23,17,1,M. CHRISTOPH Frédéric    ,8.0
17-24,17,1,M. CHRISTOPH Frédéric    ,7.0
17-25,17,1,M. CHRISTOPH Frédéric    ,6.0
17-26,17,1,M. CHRISTOPH Frédéric    ,5.0
17-27,17,1,M. CHRISTOPH Frédéric    ,9.0
17-28,17,1,M. CHRISTOPH Frédéric    ,2.0
17-29,17,1,M. CHRISTOPH Frédéric    ,7.0
17-30,17,1,M. CHRISTOPH Frédéric    ,1.0
17-31,17,1,M. CHRISTOPH Frédéric    ,5.0
17-32,17,1,M. CHRISTOPH Frédéric    ,4.0
17-33,17,1,M. CHRISTOPH Frédéric    ,2.0
17-34,17,1,M. CHRISTOPH Frédéric    ,2.0
17-35,17,1,M. CHRISTOPH Frédéric    ,3.0
17-36,17,1,M. CHRISTOPH Frédéric    ,7.0
17-37,17,1,M. CHRISTOPH Frédéric    ,0.0
17-38,17,1,M. CHRISTOPH Frédéric    ,5.0
17-39,17,1,M. CHRISTOPH Frédéric    ,6.0
17-40,17,1,M. CHRISTOPH Frédéric    ,2.0
17-41,17,1,M. CHRISTOPH Frédéric    ,1.0
17-42,17,1,M. CHRISTOPH Frédéric    ,0.0
17-43,17,1,M. CHRISTOPH Frédéric    ,0.0
17-44,17,1,M. CHRISTOPH Frédéric    ,2.0
17-45,17,1,M. CHRISTOPH Frédéric    ,0.0
17-46,17,1,M. CHRISTOPH Frédéric    ,7.0
17-47,17,1,M. CHRISTOPH Frédéric    ,0.0
17-48,17,1,M. CHRISTOPH Frédéric    ,0.0
17-49,17,1,M. CHRISTOPH Frédéric    ,0.0
17-50,17,1,M. CHRISTOPH Frédéric    ,0.0
17-51,17,1,M. CHRISTOPH Frédéric    ,1.0
17-52,17,1,M. CHRISTOPH Frédéric    ,1.0
17-53,17,1,M. CHRISTOPH Frédéric    ,0.0
17-54,17,1,M. CHRISTOPH Frédéric    ,0.0
17-55,17,1,M. CHRISTOPH Frédéric    ,1.0
17-56,17,1,M. CHRISTOPH Frédéric    ,1.0
17-57,17,1,M. CHRISTOPH Frédéric    ,4.0
17-58,17,1,M. CHRISTOPH Frédéric    ,2.0
17-59,17,1,M. CHRISTOPH Frédéric    ,3.0
17-60,17,1,M. CHRISTOPH Frédéric    ,1.0
17-61,17,1,M. CHRISTOPH Frédéric    ,3.0
17-62,17,1,M. CHRISTOPH Frédéric    ,0.0
17-63,17,1,M. CHRISTOPH Frédéric    ,0.0
17-64,17,1,M. CHRISTOPH Frédéric    ,0.0
17-65,17,1,M. CHRISTOPH Frédéric    ,1.0
17-66,17,1,M. CHRISTOPH Frédéric    ,2.0
17-67,17,1,M. CHRISTOPH Frédéric    ,0.0
17-1,17,1,Mme PEREZ Karina,81.0
17-2,17,1,Mme PEREZ Karina,63.0
17-3,17,1,Mme PEREZ Karina,101.0
17-4,17,1,Mme PEREZ Karina,86.0
17-5,17,1,Mme PEREZ Karina,92.0
17-6,17,1,Mme PEREZ Karina,69.0
17-7,17,1,Mme PEREZ Karina,76.0
17-8,17,1,Mme PEREZ Karina,84.0
17-9,17,1,Mme PEREZ Karina,124.0
17-10,17,1,Mme PEREZ Karina,61.0
17-11,17,1,Mme PEREZ Karina,67.0
17-12,17,1,Mme PEREZ Karina,79.0
17-13,17,1,Mme PEREZ Karina,83.0
17-14,17,1,Mme PEREZ Karina,68.0
17-15,17,1,Mme PEREZ Karina,46.0
17-16,17,1,Mme PEREZ Karina,83.0
17-17,17,1,Mme PEREZ Karina,39.0
17-18,17,1,Mme PEREZ Karina,47.0
17-19,17,1,Mme PEREZ Karina,29.0
17-20,17,1,Mme PEREZ Karina,31.0
17-21,17,1,Mme PEREZ Karina,80.0
17-22,17,1,Mme PEREZ Karina,63.0
17-23,17,1,Mme PEREZ Karina,34.0
17-24,17,1,Mme PEREZ Karina,77.0
17-25,17,1,Mme PEREZ Karina,54.0
17-26,17,1,Mme PEREZ Karina,78.0
17-27,17,1,Mme PEREZ Karina,81.0
17-28,17,1,Mme PEREZ Karina,90.0
17-29,17,1,Mme PEREZ Karina,106.0
17-30,17,1,Mme PEREZ Karina,94.0
17-31,17,1,Mme PEREZ Karina,95.0
17-32,17,1,Mme PEREZ Karina,84.0
17-33,17,1,Mme PEREZ Karina,98.0
17-34,17,1,Mme PEREZ Karina,129.0
17-35,17,1,Mme PEREZ Karina,95.0
17-36,17,1,Mme PEREZ Karina,36.0
17-37,17,1,Mme PEREZ Karina,22.0
17-38,17,1,Mme PEREZ Karina,49.0
17-39,17,1,Mme PEREZ Karina,27.0
17-40,17,1,Mme PEREZ Karina,35.0
17-41,17,1,Mme PEREZ Karina,25.0
17-42,17,1,Mme PEREZ Karina,37.0
17-43,17,1,Mme PEREZ Karina,40.0
17-44,17,1,Mme PEREZ Karina,35.0
17-45,17,1,Mme PEREZ Karina,38.0
17-46,17,1,Mme PEREZ Karina,38.0
17-47,17,1,Mme PEREZ Karina,31.0
17-48,17,1,Mme PEREZ Karina,38.0
17-49,17,1,Mme PEREZ Karina,22.0
17-50,17,1,Mme PEREZ Karina,39.0
17-51,17,1,Mme PEREZ Karina,42.0
17-52,17,1,Mme PEREZ Karina,44.0
17-53,17,1,Mme PEREZ Karina,41.0
17-54,17,1,Mme PEREZ Karina,43.0
17-55,17,1,Mme PEREZ Karina,49.0
17-56,17,1,Mme PEREZ Karina,59.0
17-57,17,1,Mme PEREZ Karina,34.0
17-58,17,1,Mme PEREZ Karina,43.0
17-59,17,1,Mme PEREZ Karina,31.0
17-60,17,1,Mme PEREZ Karina,35.0
17-61,17,1,Mme PEREZ Karina,30.0
17-62,17,1,Mme PEREZ Karina,30.0
17-63,17,1,Mme PEREZ Karina,28.0
17-64,17,1,Mme PEREZ Karina,32.0
17-65,17,1,Mme PEREZ Karina,38.0
17-66,17,1,Mme PEREZ Karina,44.0
17-67,17,1,Mme PEREZ Karina,41.0
17-1,17,1,M. BRITEL Karim    ,0.0
17-2,17,1,M. BRITEL Karim    ,0.0
17-3,17,1,M. BRITEL Karim    ,0.0
17-4,17,1,M. BRITEL Karim    ,4.0
17-5,17,1,M. BRITEL Karim    ,2.0
17-6,17,1,M. BRITEL Karim    ,0.0
17-7,17,1,M. BRITEL Karim    ,1.0
17-8,17,1,M. BRITEL Karim    ,3.0
17-9,17,1,M. BRITEL Karim    ,2.0
17-10,17,1,M. BRITEL Karim    ,1.0
17-11,17,1,M. BRITEL Karim    ,2.0
17-12,17,1,M. BRITEL Karim    ,1.0
17-13,17,1,M. BRITEL Karim    ,3.0
17-14,17,1,M. BRITEL Karim    ,6.0
17-15,17,1,M. BRITEL Karim    ,4.0
17-16,17,1,M. BRITEL Karim    ,7.0
17-17,17,1,M. BRITEL Karim    ,8.0
17-18,17,1,M. BRITEL Karim    ,6.0
17-19,17,1,M. BRITEL Karim    ,4.0
17-20,17,1,M. BRITEL Karim    ,1.0
17-21,17,1,M. BRITEL Karim    ,3.0
17-22,17,1,M. BRITEL Karim    ,3.0
17-23,17,1,M. BRITEL Karim    ,4.0
17-24,17,1,M. BRITEL Karim    ,2.0
17-25,17,1,M. BRITEL Karim    ,4.0
17-26,17,1,M. BRITEL Karim    ,4.0
17-27,17,1,M. BRITEL Karim    ,5.0
17-28,17,1,M. BRITEL Karim    ,5.0
17-29,17,1,M. BRITEL Karim    ,2.0
17-30,17,1,M. BRITEL Karim    ,2.0
17-31,17,1,M. BRITEL Karim    ,3.0
17-32,17,1,M. BRITEL Karim    ,4.0
17-33,17,1,M. BRITEL Karim    ,3.0
17-34,17,1,M. BRITEL Karim    ,5.0
17-35,17,1,M. BRITEL Karim    ,1.0
17-36,17,1,M. BRITEL Karim    ,2.0
17-37,17,1,M. BRITEL Karim    ,3.0
17-38,17,1,M. BRITEL Karim    ,4.0
17-39,17,1,M. BRITEL Karim    ,4.0
17-40,17,1,M. BRITEL Karim    ,5.0
17-41,17,1,M. BRITEL Karim    ,5.0
17-42,17,1,M. BRITEL Karim    ,1.0
17-43,17,1,M. BRITEL Karim    ,2.0
17-44,17,1,M. BRITEL Karim    ,3.0
17-45,17,1,M. BRITEL Karim    ,2.0
17-46,17,1,M. BRITEL Karim    ,1.0
17-47,17,1,M. BRITEL Karim    ,0.0
